Hits,eCount,FireRate1,ShotSpeed1,Health1,FireRate2,ShotSpeed2,Health2,FireRate3,ShotSpeed3,Health3,FireRate4,ShotSpeed4,Health4,FireRate5,ShotSpeed5,Health5,FireRate6,ShotSpeed6,Health6
12,6,19.0,0.3000413,15,113.0,0.419568,15,52.0,0.1516784,12,33.0,0.06198646,2,100.0,0.03356542,17,84.0,0.1593169,9
16,5,82.0,0.4248615,2,15.0,0.09221829,11,83.0,0.131913,21,80.0,0.2685755,20,68.0,0.4800945,30,0,0,0
13,5,31.0,0.2499058,2,83.0,0.3687763,7,83.0,0.3015839,24,66.0,0.387101,27,110.0,0.2458117,23,0,0,0
18,6,102.0,0.2775131,25,41.0,0.4559432,3,75.0,0.05476464,28,79.0,0.3607801,16,120.0,0.3474546,12,110.0,0.07080103,25
10,4,105.0,0.390704,15,38.0,0.4302099,29,13.0,0.1199789,18,36.0,0.1784925,2,0,0,0,0,0,0
1,2,9.0,0.3149027,3,105.0,0.4219514,27,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62.0,0.2797766,20,24.0,0.05382086,15,8.0,0.3776372,25,0,0,0,0,0,0,0,0,0
13,5,38.0,0.1197824,27,114.0,0.3918529,12,86.0,0.4882058,10,64.0,0.4573529,10,109.0,0.3543238,2,0,0,0
17,5,13.0,0.1290081,10,33.0,0.3205549,25,90.0,0.3441518,5,6.0,0.1428276,6,26.0,0.2772581,10,0,0,0
11,6,89.0,0.3511803,13,13.0,0.1092194,13,16.0,0.3586265,11,109.0,0.430966,11,47.0,0.1614663,3,31.0,0.1349252,4
7,3,8.0,0.194274,5,80.0,0.2998333,9,45.0,0.0267324,8,0,0,0,0,0,0,0,0,0
2,2,74.0,0.161578,6,111.0,0.2261738,22,0,0,0,0,0,0,0,0,0,0,0,0
17,4,39.0,0.2216098,8,109.0,0.2432967,29,55.0,0.09333302,17,21.0,0.2788055,11,0,0,0,0,0,0
16,6,53.0,0.2010223,22,57.0,0.1782641,6,35.0,0.1722451,24,90.0,0.03690673,1,46.0,0.3148294,20,56.0,0.1263125,7
0,1,114.0,0.2049163,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,97.0,0.2773701,27,14.0,0.1423659,28,79.0,0.1031337,6,0,0,0,0,0,0,0,0,0
4,3,7.0,0.4217008,3,56.0,0.1014524,30,120.0,0.01630319,9,0,0,0,0,0,0,0,0,0
28,6,19.0,0.4487323,18,77.0,0.1164853,27,98.0,0.07261755,26,48.0,0.371598,25,50.0,0.500887,1,55.0,0.1805485,8
15,3,61.0,0.367051,6,20.0,0.07532276,29,32.0,0.2933541,28,0,0,0,0,0,0,0,0,0
14,4,11.0,0.08606406,23,7.0,0.5007213,23,56.0,0.4067766,6,59.0,0.123543,17,0,0,0,0,0,0
3,2,8.0,0.4957677,10,111.0,0.03552629,28,0,0,0,0,0,0,0,0,0,0,0,0
18,5,28.0,0.4617707,27,27.0,0.06090297,24,10.0,0.3691315,5,85.0,0.1290176,6,107.0,0.4569968,12,0,0,0
23,6,24.0,0.3218032,20,99.0,0.4099568,3,111.0,0.3757415,10,6.0,0.02197028,11,78.0,0.4877449,20,17.0,0.128327,9
5,3,66.0,0.4919347,5,30.0,0.3191693,7,52.0,0.2505161,15,0,0,0,0,0,0,0,0,0
14,4,99.0,0.1833037,20,24.0,0.27798,15,29.0,0.3457097,22,104.0,0.07099779,2,0,0,0,0,0,0
14,4,18.0,0.4918224,5,106.0,0.407282,23,36.0,0.2748967,25,58.0,0.02683545,12,0,0,0,0,0,0
28,6,116.0,0.1975326,28,39.0,0.1876101,21,82.0,0.02569325,6,92.0,0.477483,5,49.0,0.1387936,8,20.0,0.4845446,19
4,3,94.0,0.06000967,2,62.0,0.2023392,16,75.0,0.4476915,4,0,0,0,0,0,0,0,0,0
17,5,117.0,0.4830816,7,96.0,0.1590553,13,75.0,0.4290195,28,23.0,0.4706718,2,49.0,0.4463918,29,0,0,0
7,3,34.0,0.1746193,25,119.0,0.4607379,19,119.0,0.1043709,14,0,0,0,0,0,0,0,0,0
